"Age" "Region" "Partic"
64 "East" 1
34 "South" 0
36 "South" 0
37 "South" 0
40 "South" 0
52 "North" 0
40 "East" 0
35 "North" 0
35 "East" 0
41 "South" 0
29 "South" 0
45 "East" 1
30 "East" 0
24 "South" 0
36 "East" 0
32 "North" 0
36 "East" 0
45 "North" 0
42 "East" 0
46 "South" 1
62 "East" 1
33 "South" 0
37 "South" 0
45 "North" 0
42 "South" 0
42 "East" 0
36 "South" 0
37 "East" 0
34 "East" 0
40 "East" 0
48 "South" 0
50 "South" 1
45 "West" 1
32 "South" 0
46 "South" 0
35 "East" 0
48 "West" 1
49 "South" 1
43 "East" 0
37 "East" 0
42 "West" 0
35 "South" 0
39 "South" 0
37 "East" 0
44 "South" 1
41 "South" 1
32 "East" 0
48 "South" 1
33 "East" 0
37 "South" 0
42 "East" 0
50 "South" 1
47 "East" 0
43 "South" 1
47 "South" 1
47 "South" 0
41 "West" 1
38 "South" 0
36 "North" 0
35 "South" 0
46 "South" 0
36 "South" 0
41 "East" 0
36 "South" 0
37 "South" 0
40 "South" 0
43 "North" 0
49 "North" 0
34 "South" 0
31 "East" 0
47 "East" 0
53 "West" 1
42 "East" 0
32 "North" 0
36 "South" 0
39 "South" 0
43 "South" 0
42 "South" 0
44 "South" 0
42 "South" 0
35 "South" 0
38 "East" 0
37 "East" 1
36 "East" 0
54 "South" 0
47 "South" 1
43 "East" 0
48 "East" 1
34 "East" 0
26 "North" 0
23 "East" 0
35 "South" 0
54 "South" 1
43 "West" 1
50 "East" 0
35 "North" 0
34 "South" 0
53 "East" 0
36 "East" 0
51 "East" 1
32 "South" 0
41 "East" 1
43 "East" 0
48 "South" 1
46 "South" 1
46 "East" 1
42 "South" 0
45 "South" 0
38 "East" 0
36 "South" 0
31 "East" 0
46 "South" 1
36 "East" 0
26 "South" 0
31 "South" 0
50 "South" 0
35 "West" 0
39 "West" 1
38 "West" 1
49 "South" 0
41 "West" 0
37 "East" 0
39 "East" 0
20 "South" 0
40 "South" 0
41 "East" 1
58 "East" 1
40 "South" 0
46 "West" 1
38 "West" 0
41 "North" 0
45 "East" 0
50 "East" 1
42 "South" 0
34 "East" 0
48 "East" 1
38 "North" 0
40 "South" 0
44 "South" 0
34 "South" 0
36 "East" 0
41 "South" 0
33 "East" 0
45 "East" 1
40 "East" 0
49 "West" 1
43 "North" 0
50 "South" 0
39 "South" 0
53 "East" 1
39 "East" 0
49 "East" 1
31 "East" 0
47 "East" 1
45 "East" 0
46 "East" 1
37 "West" 0
38 "North" 0
47 "East" 1
38 "South" 0
39 "North" 0
53 "South" 1
36 "South" 0
50 "North" 0
47 "East" 1
39 "South" 0
35 "West" 0
47 "East" 1
39 "North" 0
29 "South" 0
44 "East" 0
46 "East" 1
37 "South" 0
40 "South" 0
49 "West" 1
38 "South" 0
26 "East" 0
30 "South" 0
53 "South" 1
48 "East" 0
50 "East" 1
37 "East" 0
45 "East" 0
29 "South" 0
36 "South" 0
44 "East" 0
32 "South" 0
34 "East" 0
46 "East" 1
36 "South" 0
41 "East" 1
37 "South" 0
40 "South" 0
38 "South" 0
31 "East" 0
52 "North" 0
32 "East" 0
49 "South" 1
39 "South" 0
38 "East" 0
